"","year","stock","stock_name","smolt","run","region","lat","long","agg_reg","group","survival","M"
"808","1979","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"809","1980","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"810","1981","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"811","1982","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"812","1983","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"813","1984","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"814","1985","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"815","1986","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"816","1987","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"817","1988","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"818","1989","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"819","1990","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"820","1991","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"821","1992","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"822","1993","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"823","1994","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"824","1995","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"825","1996","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"826","1997","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"827","1998","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",NA,NA
"828","1999","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",0.06194126,2.78156876237727
"829","2000","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",0.09768637,2.32599323836575
"830","2001","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",0.05864541,2.83624596781476
"831","2002","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",0.09521864,2.35157955803148
"832","2003","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",0.09009965,2.40683899894809
"833","2004","KLY","Kitsumkalum Yearling","streamtype","summer","NBC",54.520959,-128.660892,"north","north_streamtype",0.07146927,2.63848771187825
